laus_code,state_fips_code,county_fips_code,name,year,labor_force,employed,unemployed,unemployment_rate
CN0508500000000,05,085,"Lonoke County, AR",2006,31679,30337,1342,4.200000
CN0508700000000,05,087,"Madison County, AR",2006,7923,7638,285,3.600000
CN0508900000000,05,089,"Marion County, AR",2006,6995,6633,362,5.200000
CN0509100000000,05,091,"Miller County, AR",2006,19572,18662,910,4.600000
CN0509300000000,05,093,"Mississippi County, AR",2006,21268,19610,1658,7.800000
CN0509500000000,05,095,"Monroe County, AR",2006,3892,3613,279,7.200000
CN0509700000000,05,097,"Montgomery County, AR",2006,4401,4195,206,4.700000
CN0509900000000,05,099,"Nevada County, AR",2006,4446,4201,245,5.500000
CN0510100000000,05,101,"Newton County, AR",2006,3608,3422,186,5.200000
CN0510300000000,05,103,"Ouachita County, AR",2006,12531,11525,1006,8.000000
CN0510500000000,05,105,"Perry County, AR",2006,4905,4661,244,5.000000
CN0510700000000,05,107,"Phillips County, AR",2006,9148,8404,744,8.100000
CN0510900000000,05,109,"Pike County, AR",2006,5375,5104,271,5.000000
CN0511100000000,05,111,"Poinsett County, AR",2006,11359,10603,756,6.700000
CN0511300000000,05,113,"Polk County, AR",2006,8928,8504,424,4.700000
CN0511500000000,05,115,"Pope County, AR",2006,30229,28796,1433,4.700000
CN0511700000000,05,117,"Prairie County, AR",2006,4517,4263,254,5.600000
CN0511900000000,05,119,"Pulaski County, AR",2006,189922,180838,9084,4.800000
CN0512100000000,05,121,"Randolph County, AR",2006,7829,7268,561,7.200000
CN0512300000000,05,123,"St. Francis County, AR",2006,10814,9847,967,8.900000
CN0512500000000,05,125,"Saline County, AR",2006,48576,46446,2130,4.400000
CN0512700000000,05,127,"Scott County, AR",2006,4938,4720,218,4.400000
CN0512900000000,05,129,"Searcy County, AR",2006,3559,3390,169,4.700000
CN0513100000000,05,131,"Sebastian County, AR",2006,60935,58127,2808,4.600000
CN0513300000000,05,133,"Sevier County, AR",2006,7781,7467,314,4.000000
CN0513500000000,05,135,"Sharp County, AR",2006,6557,6117,440,6.700000
CN0513700000000,05,137,"Stone County, AR",2006,4767,4503,264,5.500000
CN0513900000000,05,139,"Union County, AR",2006,19852,18532,1320,6.600000
CN0514100000000,05,141,"Van Buren County, AR",2006,7118,6690,428,6.000000
CN0514300000000,05,143,"Washington County, AR",2006,103155,99421,3734,3.600000
CN0514500000000,05,145,"White County, AR",2006,32299,30463,1836,5.700000
CN0514700000000,05,147,"Woodruff County, AR",2006,3581,3285,296,8.300000
CN0514900000000,05,149,"Yell County, AR",2006,10914,10425,489,4.500000
CN0600100000000,06,001,"Alameda County, CA",2006,733836,701275,32561,4.400000
CN0600300000000,06,003,"Alpine County, CA",2006,482,451,31,6.400000
CN0600500000000,06,005,"Amador County, CA",2006,17236,16315,921,5.300000
CN0600700000000,06,007,"Butte County, CA",2006,99752,93557,6195,6.200000
CN0600900000000,06,009,"Calaveras County, CA",2006,20596,19390,1206,5.900000
CN0601100000000,06,011,"Colusa County, CA",2006,9915,8701,1214,12.200000
CN0601300000000,06,013,"Contra Costa County, CA",2006,510424,488580,21844,4.300000
CN0601500000000,06,015,"Del Norte County, CA",2006,10793,10053,740,6.900000
CN0601700000000,06,017,"El Dorado County, CA",2006,91558,87339,4219,4.600000
CN0601900000000,06,019,"Fresno County, CA",2006,410430,377532,32898,8.000000
CN0602100000000,06,021,"Glenn County, CA",2006,11612,10681,931,8.000000
CN0602300000000,06,023,"Humboldt County, CA",2006,59404,56124,3280,5.500000
CN0602500000000,06,025,"Imperial County, CA",2006,63023,53304,9719,15.400000
CN0602700000000,06,027,"Inyo County, CA",2006,9010,8599,411,4.600000
CN0602900000000,06,029,"Kern County, CA",2006,336093,310742,25351,7.500000
CN0603100000000,06,031,"Kings County, CA",2006,54995,50355,4640,8.400000
CN0603300000000,06,033,"Lake County, CA",2006,24273,22410,1863,7.700000
CN0603500000000,06,035,"Lassen County, CA",2006,12217,11253,964,7.900000
CN0603700000000,06,037,"Los Angeles County, CA",2006,4807873,4577565,230308,4.800000
CN0603900000000,06,039,"Madera County, CA",2006,62732,58352,4380,7.000000
CN0604100000000,06,041,"Marin County, CA",2006,130575,125967,4608,3.500000
CN0604300000000,06,043,"Mariposa County, CA",2006,9008,8499,509,5.700000
CN0604500000000,06,045,"Mendocino County, CA",2006,43242,40993,2249,5.200000
CN0604700000000,06,047,"Merced County, CA",2006,97919,88681,9238,9.400000
CN0604900000000,06,049,"Modoc County, CA",2006,3981,3672,309,7.800000
CN0605100000000,06,051,"Mono County, CA",2006,8238,7874,364,4.400000
CN0605300000000,06,053,"Monterey County, CA",2006,203070,189023,14047,6.900000
CN0605500000000,06,055,"Napa County, CA",2006,71692,68927,2765,3.900000
CN0605700000000,06,057,"Nevada County, CA",2006,49610,47443,2167,4.400000
CN0605900000000,06,059,"Orange County, CA",2006,1597788,1543471,54317,3.400000
CN0606100000000,06,061,"Placer County, CA",2006,168855,161825,7030,4.200000
CN0606300000000,06,063,"Plumas County, CA",2006,10086,9314,772,7.700000
CN0606500000000,06,065,"Riverside County, CA",2006,881248,836872,44376,5.000000
CN0606700000000,06,067,"Sacramento County, CA",2006,668817,637010,31807,4.800000
CN0606900000000,06,069,"San Benito County, CA",2006,24164,22433,1731,7.200000
CN0607100000000,06,071,"San Bernardino County, CA",2006,860020,818622,41398,4.800000
CN0607300000000,06,073,"San Diego County, CA",2006,1496145,1436821,59324,4.000000
CN0607500000000,06,075,"San Francisco County/city, CA",2006,415749,398293,17456,4.200000
CN0607700000000,06,077,"San Joaquin County, CA",2006,283597,262552,21045,7.400000
CN0607900000000,06,079,"San Luis Obispo County, CA",2006,132376,127166,5210,3.900000
CN0608100000000,06,081,"San Mateo County, CA",2006,364007,350645,13362,3.700000
CN0608300000000,06,083,"Santa Barbara County, CA",2006,210884,202365,8519,4.000000
CN0608500000000,06,085,"Santa Clara County, CA",2006,821565,784773,36792,4.500000
CN0608700000000,06,087,"Santa Cruz County, CA",2006,143053,134990,8063,5.600000
CN0608900000000,06,089,"Shasta County, CA",2006,82446,77008,5438,6.600000
CN0609100000000,06,091,"Sierra County, CA",2006,1587,1469,118,7.400000
CN0609300000000,06,093,"Siskiyou County, CA",2006,18596,17107,1489,8.000000
CN0609500000000,06,095,"Solano County, CA",2006,207849,197727,10122,4.900000
CN0609700000000,06,097,"Sonoma County, CA",2006,253990,243840,10150,4.000000
CN0609900000000,06,099,"Stanislaus County, CA",2006,224294,206447,17847,8.000000
CN0610100000000,06,101,"Sutter County, CA",2006,40363,36753,3610,8.900000
CN0610300000000,06,103,"Tehama County, CA",2006,25054,23432,1622,6.500000
CN0610500000000,06,105,"Trinity County, CA",2006,5058,4558,500,9.900000
CN0610700000000,06,107,"Tulare County, CA",2006,187407,171467,15940,8.500000
CN0610900000000,06,109,"Tuolumne County, CA",2006,25806,24316,1490,5.800000
CN0611100000000,06,111,"Ventura County, CA",2006,419562,401509,18053,4.300000
CN0611300000000,06,113,"Yolo County, CA",2006,93606,88766,4840,5.200000
CN0611500000000,06,115,"Yuba County, CA",2006,26551,24218,2333,8.800000
CN0800100000000,08,001,"Adams County, CO",2006,217152,206644,10508,4.800000
CN0800300000000,08,003,"Alamosa County, CO",2006,8231,7849,382,4.600000
CN0800500000000,08,005,"Arapahoe County, CO",2006,302717,289805,12912,4.300000
CN0800700000000,08,007,"Archuleta County, CO",2006,6452,6186,266,4.100000
CN0800900000000,08,009,"Baca County, CO",2006,2423,2348,75,3.100000
CN0801100000000,08,011,"Bent County, CO",2006,2409,2274,135,5.600000
CN0801300000000,08,013,"Boulder County, CO",2006,170598,164263,6335,3.700000
CN0801400000000,08,014,"Broomfield County/city, CO",2006,25442,24355,1087,4.300000
CN0801500000000,08,015,"Chaffee County, CO",2006,8148,7795,353,4.300000
CN0801700000000,08,017,"Cheyenne County, CO",2006,1349,1313,36,2.700000
CN0801900000000,08,019,"Clear Creek County, CO",2006,5791,5557,234,4.000000
CN0802100000000,08,021,"Conejos County, CO",2006,3770,3523,247,6.600000
CN0802300000000,08,023,"Costilla County, CO",2006,1326,1214,112,8.400000
CN0802500000000,08,025,"Crowley County, CO",2006,1590,1482,108,6.800000
CN0802700000000,08,027,"Custer County, CO",2006,1949,1866,83,4.300000
CN0802900000000,08,029,"Delta County, CO",2006,15873,15240,633,4.000000
CN0803100000000,08,031,"Denver County/city, CO",2006,306021,291349,14672,4.800000
CN0803300000000,08,033,"Dolores County, CO",2006,985,921,64,6.500000
CN0803500000000,08,035,"Douglas County, CO",2006,151085,145720,5365,3.600000
CN0803700000000,08,037,"Eagle County, CO",2006,29827,28823,1004,3.400000
CN0803900000000,08,039,"Elbert County, CO",2006,13123,12602,521,4.000000
CN0804100000000,08,041,"El Paso County, CO",2006,295570,281919,13651,4.600000
CN0804300000000,08,043,"Fremont County, CO",2006,19440,18362,1078,5.500000
CN0804500000000,08,045,"Garfield County, CO",2006,33227,32244,983,3.000000
CN0804700000000,08,047,"Gilpin County, CO",2006,3406,3269,137,4.000000
CN0804900000000,08,049,"Grand County, CO",2006,8773,8488,285,3.200000
CN0805100000000,08,051,"Gunnison County, CO",2006,9514,9215,299,3.100000
CN0805300000000,08,053,"Hinsdale County, CO",2006,618,599,19,3.100000
CN0805500000000,08,055,"Huerfano County, CO",2006,3371,3168,203,6.000000
CN0805700000000,08,057,"Jackson County, CO",2006,1108,1076,32,2.900000
CN0805900000000,08,059,"Jefferson County, CO",2006,304252,291546,12706,4.200000
CN0806100000000,08,061,"Kiowa County, CO",2006,888,858,30,3.400000
CN0806300000000,08,063,"Kit Carson County, CO",2006,4485,4349,136,3.000000
CN0806500000000,08,065,"Lake County, CO",2006,4019,3849,170,4.200000
CN0806700000000,08,067,"La Plata County, CO",2006,30309,29290,1019,3.400000
CN0806900000000,08,069,"Larimer County, CO",2006,169350,162695,6655,3.900000
CN0807100000000,08,071,"Las Animas County, CO",2006,8456,8114,342,4.000000
CN0807300000000,08,073,"Lincoln County, CO",2006,3059,2950,109,3.600000
CN0807500000000,08,075,"Logan County, CO",2006,11129,10745,384,3.500000
CN0807700000000,08,077,"Mesa County, CO",2006,74156,71219,2937,4.000000
CN0807900000000,08,079,"Mineral County, CO",2006,453,431,22,4.900000
CN0808100000000,08,081,"Moffat County, CO",2006,8350,8036,314,3.800000
CN0808300000000,08,083,"Montezuma County, CO",2006,13163,12582,581,4.400000
CN0808500000000,08,085,"Montrose County, CO",2006,20286,19474,812,4.000000
CN0808700000000,08,087,"Morgan County, CO",2006,14345,13789,556,3.900000
CN0808900000000,08,089,"Otero County, CO",2006,9326,8761,565,6.100000
CN0809100000000,08,091,"Ouray County, CO",2006,3009,2915,94,3.100000
CN0809300000000,08,093,"Park County, CO",2006,9741,9357,384,3.900000
CN0809500000000,08,095,"Phillips County, CO",2006,2395,2314,81,3.400000
CN0809700000000,08,097,"Pitkin County, CO",2006,11262,10909,353,3.100000
CN0809900000000,08,099,"Prowers County, CO",2006,6938,6535,403,5.800000
CN0810100000000,08,101,"Pueblo County, CO",2006,70426,66466,3960,5.600000
CN0810300000000,08,103,"Rio Blanco County, CO",2006,4735,4607,128,2.700000
CN0810500000000,08,105,"Rio Grande County, CO",2006,6616,6309,307,4.600000
CN0810700000000,08,107,"Routt County, CO",2006,14986,14508,478,3.200000
CN0810900000000,08,109,"Saguache County, CO",2006,3198,2999,199,6.200000
CN0811100000000,08,111,"San Juan County, CO",2006,551,524,27,4.900000
CN0811300000000,08,113,"San Miguel County, CO",2006,5445,5261,184,3.400000
CN0811500000000,08,115,"Sedgwick County, CO",2006,1628,1578,50,3.100000
CN0811700000000,08,117,"Summit County, CO",2006,16845,16324,521,3.100000
CN0811900000000,08,119,"Teller County, CO",2006,12800,12256,544,4.300000
CN0812100000000,08,121,"Washington County, CO",2006,2898,2798,100,3.500000
CN0812300000000,08,123,"Weld County, CO",2006,114953,109578,5375,4.700000
CN0812500000000,08,125,"Yuma County, CO",2006,6506,6336,170,2.600000
CN0900100000000,09,001,"Fairfield County, CT",2006,459839,442204,17635,3.800000
CN0900300000000,09,003,"Hartford County, CT",2006,445627,424469,21158,4.700000
CN0900500000000,09,005,"Litchfield County, CT",2006,103802,99647,4155,4.000000
CN0900700000000,09,007,"Middlesex County, CT",2006,91260,87921,3339,3.700000
CN0900900000000,09,009,"New Haven County, CT",2006,437427,416565,20862,4.800000
CN0901100000000,09,011,"New London County, CT",2006,145569,139598,5971,4.100000
CN0901300000000,09,013,"Tolland County, CT",2006,82675,79562,3113,3.800000
CN0901500000000,09,015,"Windham County, CT",2006,62458,59229,3229,5.200000
CN1000100000000,10,001,"Kent County, DE",2006,74093,71705,2388,3.200000
CN1000300000000,10,003,"New Castle County, DE",2006,274789,264399,10390,3.800000
CN1000500000000,10,005,"Sussex County, DE",2006,92302,89295,3007,3.300000
CN1100100000000,11,001,District of Columbia,2006,316083,297786,18297,5.800000
CN1200100000000,12,001,"Alachua County, FL",2006,125843,122471,3372,2.700000
CN1200300000000,12,003,"Baker County, FL",2006,11548,11219,329,2.800000
CN1200500000000,12,005,"Bay County, FL",2006,85748,83077,2671,3.100000
CN1200700000000,12,007,"Bradford County, FL",2006,12191,11843,348,2.900000
CN1200900000000,12,009,"Brevard County, FL",2006,265618,256936,8682,3.300000
CN1201100000000,12,011,"Broward County, FL",2006,983211,952640,30571,3.100000
CN1201300000000,12,013,"Calhoun County, FL",2006,5386,5216,170,3.200000
CN1201500000000,12,015,"Charlotte County, FL",2006,69533,67201,2332,3.400000
CN1201700000000,12,017,"Citrus County, FL",2006,54552,52465,2087,3.800000
CN1201900000000,12,019,"Clay County, FL",2006,91630,88878,2752,3.000000
CN1202100000000,12,021,"Collier County, FL",2006,152464,147706,4758,3.100000
CN1202300000000,12,023,"Columbia County, FL",2006,29805,28844,961,3.200000
CN1202700000000,12,027,"DeSoto County, FL",2006,14209,13691,518,3.600000
CN1202900000000,12,029,"Dixie County, FL",2006,5698,5499,199,3.500000
CN1203100000000,12,031,"Duval County, FL",2006,432151,416893,15258,3.500000
CN1203300000000,12,033,"Escambia County, FL",2006,138216,133846,4370,3.200000
CN1203500000000,12,035,"Flagler County, FL",2006,30723,29335,1388,4.500000
CN1203700000000,12,037,"Franklin County, FL",2006,5054,4903,151,3.000000
CN1203900000000,12,039,"Gadsden County, FL",2006,21029,20303,726,3.500000
CN1204100000000,12,041,"Gilchrist County, FL",2006,7728,7505,223,2.900000
CN1204300000000,12,043,"Glades County, FL",2006,4691,4509,182,3.900000
CN1204500000000,12,045,"Gulf County, FL",2006,6419,6221,198,3.100000
CN1204700000000,12,047,"Hamilton County, FL",2006,4641,4463,178,3.800000
CN1204900000000,12,049,"Hardee County, FL",2006,11982,11506,476,4.000000
CN1205100000000,12,051,"Hendry County, FL",2006,17698,16578,1120,6.300000
CN1205300000000,12,053,"Hernando County, FL",2006,59884,57191,2693,4.500000
CN1205500000000,12,055,"Highlands County, FL",2006,40797,39270,1527,3.700000
CN1205700000000,12,057,"Hillsborough County, FL",2006,585548,566146,19402,3.300000
CN1205900000000,12,059,"Holmes County, FL",2006,8625,8362,263,3.000000
CN1206100000000,12,061,"Indian River County, FL",2006,61703,59163,2540,4.100000
CN1206300000000,12,063,"Jackson County, FL",2006,21288,20527,761,3.600000
CN1206500000000,12,065,"Jefferson County, FL",2006,7066,6863,203,2.900000
CN1206700000000,12,067,"Lafayette County, FL",2006,2850,2771,79,2.800000
CN1206900000000,12,069,"Lake County, FL",2006,126341,122105,4236,3.400000
CN1207100000000,12,071,"Lee County, FL",2006,287157,278772,8385,2.900000
CN1207300000000,12,073,"Leon County, FL",2006,140574,136722,3852,2.700000
CN1207500000000,12,075,"Levy County, FL",2006,16500,15917,583,3.500000
CN1207700000000,12,077,"Liberty County, FL",2006,3537,3444,93,2.600000
