laus_code,state_fips_code,county_fips_code,name,year,labor_force,employed,unemployed,unemployment_rate
CN1814700000000,18,147,"Spencer County, IN",2014,10753,10185,568,5.300000
CN1814900000000,18,149,"Starke County, IN",2014,10246,9485,761,7.400000
CN1815100000000,18,151,"Steuben County, IN",2014,19930,18924,1006,5.000000
CN1815300000000,18,153,"Sullivan County, IN",2014,8687,8045,642,7.400000
CN1815500000000,18,155,"Switzerland County, IN",2014,4824,4541,283,5.900000
CN1815700000000,18,157,"Tippecanoe County, IN",2014,91071,86421,4650,5.100000
CN1815900000000,18,159,"Tipton County, IN",2014,8144,7699,445,5.500000
CN1816100000000,18,161,"Union County, IN",2014,3581,3379,202,5.600000
CN1816300000000,18,163,"Vanderburgh County, IN",2014,92094,87043,5051,5.500000
CN1816500000000,18,165,"Vermillion County, IN",2014,7277,6642,635,8.700000
CN1816700000000,18,167,"Vigo County, IN",2014,49306,45461,3845,7.800000
CN1816900000000,18,169,"Wabash County, IN",2014,15441,14570,871,5.600000
CN1817100000000,18,171,"Warren County, IN",2014,4121,3871,250,6.100000
CN1817300000000,18,173,"Warrick County, IN",2014,31233,29680,1553,5.000000
CN1817500000000,18,175,"Washington County, IN",2014,13369,12480,889,6.600000
CN1817700000000,18,177,"Wayne County, IN",2014,31047,28980,2067,6.700000
CN1817900000000,18,179,"Wells County, IN",2014,13836,13160,676,4.900000
CN1818100000000,18,181,"White County, IN",2014,13371,12671,700,5.200000
CN1818300000000,18,183,"Whitley County, IN",2014,16910,16024,886,5.200000
CN1900100000000,19,001,"Adair County, IA",2014,4175,4000,175,4.200000
CN1900300000000,19,003,"Adams County, IA",2014,2218,2140,78,3.500000
CN1900500000000,19,005,"Allamakee County, IA",2014,7777,7320,457,5.900000
CN1900700000000,19,007,"Appanoose County, IA",2014,6173,5805,368,6.000000
CN1900900000000,19,009,"Audubon County, IA",2014,3306,3158,148,4.500000
CN1901100000000,19,011,"Benton County, IA",2014,13900,13234,666,4.800000
CN1901300000000,19,013,"Black Hawk County, IA",2014,72478,68780,3698,5.100000
CN1901500000000,19,015,"Boone County, IA",2014,15248,14711,537,3.500000
CN1901700000000,19,017,"Bremer County, IA",2014,14215,13671,544,3.800000
CN1901900000000,19,019,"Buchanan County, IA",2014,11528,10972,556,4.800000
CN1902100000000,19,021,"Buena Vista County, IA",2014,11532,11056,476,4.100000
CN1902300000000,19,023,"Butler County, IA",2014,8410,8038,372,4.400000
CN1902500000000,19,025,"Calhoun County, IA",2014,4433,4208,225,5.100000
CN1902700000000,19,027,"Carroll County, IA",2014,11293,10921,372,3.300000
CN1902900000000,19,029,"Cass County, IA",2014,7430,7094,336,4.500000
CN1903100000000,19,031,"Cedar County, IA",2014,10938,10498,440,4.000000
CN1903300000000,19,033,"Cerro Gordo County, IA",2014,23373,22242,1131,4.800000
CN1903500000000,19,035,"Cherokee County, IA",2014,6680,6324,356,5.300000
CN1903700000000,19,037,"Chickasaw County, IA",2014,6541,6219,322,4.900000
CN1903900000000,19,039,"Clarke County, IA",2014,4729,4508,221,4.700000
CN1904100000000,19,041,"Clay County, IA",2014,8989,8601,388,4.300000
CN1904300000000,19,043,"Clayton County, IA",2014,10254,9723,531,5.200000
CN1904500000000,19,045,"Clinton County, IA",2014,24855,23492,1363,5.500000
CN1904700000000,19,047,"Crawford County, IA",2014,8772,8399,373,4.300000
CN1904900000000,19,049,"Dallas County, IA",2014,42082,40646,1436,3.400000
CN1905100000000,19,051,"Davis County, IA",2014,4142,3922,220,5.300000
CN1905300000000,19,053,"Decatur County, IA",2014,4461,4287,174,3.900000
CN1905500000000,19,055,"Delaware County, IA",2014,10585,10167,418,3.900000
CN1905700000000,19,057,"Des Moines County, IA",2014,20968,19879,1089,5.200000
CN1905900000000,19,059,"Dickinson County, IA",2014,9770,9296,474,4.900000
CN1906100000000,19,061,"Dubuque County, IA",2014,55858,53471,2387,4.300000
CN1906300000000,19,063,"Emmet County, IA",2014,5736,5498,238,4.100000
CN1906500000000,19,065,"Fayette County, IA",2014,10860,10294,566,5.200000
CN1906700000000,19,067,"Floyd County, IA",2014,8391,7993,398,4.700000
CN1906900000000,19,069,"Franklin County, IA",2014,6034,5784,250,4.100000
CN1907100000000,19,071,"Fremont County, IA",2014,4184,4014,170,4.100000
CN1907300000000,19,073,"Greene County, IA",2014,5340,5119,221,4.100000
CN1907500000000,19,075,"Grundy County, IA",2014,6736,6442,294,4.400000
CN1907700000000,19,077,"Guthrie County, IA",2014,5701,5445,256,4.500000
CN1907900000000,19,079,"Hamilton County, IA",2014,7146,6807,339,4.700000
CN1908100000000,19,081,"Hancock County, IA",2014,6329,6112,217,3.400000
CN1908300000000,19,083,"Hardin County, IA",2014,8782,8389,393,4.500000
CN1908500000000,19,085,"Harrison County, IA",2014,7691,7373,318,4.100000
CN1908700000000,19,087,"Henry County, IA",2014,9596,9158,438,4.600000
CN1908900000000,19,089,"Howard County, IA",2014,5363,5136,227,4.200000
CN1909100000000,19,091,"Humboldt County, IA",2014,5284,5075,209,4.000000
CN1909300000000,19,093,"Ida County, IA",2014,3915,3768,147,3.800000
CN1909500000000,19,095,"Iowa County, IA",2014,10266,9820,446,4.300000
CN1909700000000,19,097,"Jackson County, IA",2014,11042,10460,582,5.300000
CN1909900000000,19,099,"Jasper County, IA",2014,19463,18567,896,4.600000
CN1910100000000,19,101,"Jefferson County, IA",2014,9104,8695,409,4.500000
CN1910300000000,19,103,"Johnson County, IA",2014,84241,81572,2669,3.200000
CN1910500000000,19,105,"Jones County, IA",2014,10903,10343,560,5.100000
CN1910700000000,19,107,"Keokuk County, IA",2014,5598,5342,256,4.600000
CN1910900000000,19,109,"Kossuth County, IA",2014,8690,8398,292,3.400000
CN1911100000000,19,111,"Lee County, IA",2014,17693,16585,1108,6.300000
CN1911300000000,19,113,"Linn County, IA",2014,120339,114818,5521,4.600000
CN1911500000000,19,115,"Louisa County, IA",2014,5965,5685,280,4.700000
CN1911700000000,19,117,"Lucas County, IA",2014,4323,4147,176,4.100000
CN1911900000000,19,119,"Lyon County, IA",2014,7074,6887,187,2.600000
CN1912100000000,19,121,"Madison County, IA",2014,8320,7931,389,4.700000
CN1912300000000,19,123,"Mahaska County, IA",2014,11938,11394,544,4.600000
CN1912500000000,19,125,"Marion County, IA",2014,17534,16840,694,4.000000
CN1912700000000,19,127,"Marshall County, IA",2014,20008,18888,1120,5.600000
CN1912900000000,19,129,"Mills County, IA",2014,7528,7190,338,4.500000
CN1913100000000,19,131,"Mitchell County, IA",2014,5522,5320,202,3.700000
CN1913300000000,19,133,"Monona County, IA",2014,4790,4541,249,5.200000
CN1913500000000,19,135,"Monroe County, IA",2014,4109,3894,215,5.200000
CN1913700000000,19,137,"Montgomery County, IA",2014,5187,4964,223,4.300000
CN1913900000000,19,139,"Muscatine County, IA",2014,22164,21118,1046,4.700000
CN1914100000000,19,141,"O'Brien County, IA",2014,8230,7948,282,3.400000
CN1914300000000,19,143,"Osceola County, IA",2014,3461,3341,120,3.500000
CN1914500000000,19,145,"Page County, IA",2014,6639,6331,308,4.600000
CN1914700000000,19,147,"Palo Alto County, IA",2014,4859,4675,184,3.800000
CN1914900000000,19,149,"Plymouth County, IA",2014,14827,14301,526,3.500000
CN1915100000000,19,151,"Pocahontas County, IA",2014,4383,4225,158,3.600000
CN1915300000000,19,153,"Polk County, IA",2014,256666,245459,11207,4.400000
CN1915500000000,19,155,"Pottawattamie County, IA",2014,49647,47450,2197,4.400000
CN1915700000000,19,157,"Poweshiek County, IA",2014,10379,9917,462,4.500000
CN1915900000000,19,159,"Ringgold County, IA",2014,2548,2446,102,4.000000
CN1916100000000,19,161,"Sac County, IA",2014,5585,5357,228,4.100000
CN1916300000000,19,163,"Scott County, IA",2014,88327,83519,4808,5.400000
CN1916500000000,19,165,"Shelby County, IA",2014,7068,6838,230,3.300000
CN1916700000000,19,167,"Sioux County, IA",2014,20260,19644,616,3.000000
CN1916900000000,19,169,"Story County, IA",2014,56826,55157,1669,2.900000
CN1917100000000,19,171,"Tama County, IA",2014,9217,8705,512,5.600000
CN1917300000000,19,173,"Taylor County, IA",2014,3266,3141,125,3.800000
CN1917500000000,19,175,"Union County, IA",2014,6858,6522,336,4.900000
CN1917700000000,19,177,"Van Buren County, IA",2014,3926,3741,185,4.700000
CN1917900000000,19,179,"Wapello County, IA",2014,18264,17218,1046,5.700000
CN1918100000000,19,181,"Warren County, IA",2014,26998,25898,1100,4.100000
CN1918300000000,19,183,"Washington County, IA",2014,12576,12113,463,3.700000
CN1918500000000,19,185,"Wayne County, IA",2014,2896,2745,151,5.200000
CN1918700000000,19,187,"Webster County, IA",2014,19887,18884,1003,5.000000
CN1918900000000,19,189,"Winnebago County, IA",2014,5256,5026,230,4.400000
CN1919100000000,19,191,"Winneshiek County, IA",2014,12149,11612,537,4.400000
CN1919300000000,19,193,"Woodbury County, IA",2014,56358,53795,2563,4.500000
CN1919500000000,19,195,"Worth County, IA",2014,4224,4026,198,4.700000
CN1919700000000,19,197,"Wright County, IA",2014,7006,6707,299,4.300000
CN2000100000000,20,001,"Allen County, KS",2014,6964,6617,347,5.000000
CN2000300000000,20,003,"Anderson County, KS",2014,4250,4034,216,5.100000
CN2000500000000,20,005,"Atchison County, KS",2014,7714,7216,498,6.500000
CN2000700000000,20,007,"Barber County, KS",2014,2717,2632,85,3.100000
CN2000900000000,20,009,"Barton County, KS",2014,15618,15065,553,3.500000
CN2001100000000,20,011,"Bourbon County, KS",2014,7110,6739,371,5.200000
CN2001300000000,20,013,"Brown County, KS",2014,5451,5227,224,4.100000
CN2001500000000,20,015,"Butler County, KS",2014,32034,30470,1564,4.900000
CN2001700000000,20,017,"Chase County, KS",2014,1253,1203,50,4.000000
CN2001900000000,20,019,"Chautauqua County, KS",2014,1605,1517,88,5.500000
CN2002100000000,20,021,"Cherokee County, KS",2014,10385,9862,523,5.000000
CN2002300000000,20,023,"Cheyenne County, KS",2014,1312,1271,41,3.100000
CN2002500000000,20,025,"Clark County, KS",2014,1154,1123,31,2.700000
CN2002700000000,20,027,"Clay County, KS",2014,4250,4064,186,4.400000
CN2002900000000,20,029,"Cloud County, KS",2014,4439,4253,186,4.200000
CN2003100000000,20,031,"Coffey County, KS",2014,5010,4731,279,5.600000
CN2003300000000,20,033,"Comanche County, KS",2014,971,941,30,3.100000
CN2003500000000,20,035,"Cowley County, KS",2014,17382,16577,805,4.600000
CN2003700000000,20,037,"Crawford County, KS",2014,19312,18286,1026,5.300000
CN2003900000000,20,039,"Decatur County, KS",2014,1333,1285,48,3.600000
CN2004100000000,20,041,"Dickinson County, KS",2014,9933,9437,496,5.000000
CN2004300000000,20,043,"Doniphan County, KS",2014,4321,4126,195,4.500000
CN2004500000000,20,045,"Douglas County, KS",2014,64754,62128,2626,4.100000
CN2004700000000,20,047,"Edwards County, KS",2014,1606,1554,52,3.200000
CN2004900000000,20,049,"Elk County, KS",2014,1310,1244,66,5.000000
CN2005100000000,20,051,"Ellis County, KS",2014,18201,17703,498,2.700000
CN2005300000000,20,053,"Ellsworth County, KS",2014,3437,3334,103,3.000000
CN2005500000000,20,055,"Finney County, KS",2014,20340,19644,696,3.400000
CN2005700000000,20,057,"Ford County, KS",2014,18486,17790,696,3.800000
CN2005900000000,20,059,"Franklin County, KS",2014,14173,13444,729,5.100000
CN2006100000000,20,061,"Geary County, KS",2014,12407,11532,875,7.100000
CN2006300000000,20,063,"Gove County, KS",2014,1501,1461,40,2.700000
CN2006500000000,20,065,"Graham County, KS",2014,1327,1282,45,3.400000
CN2006700000000,20,067,"Grant County, KS",2014,3969,3834,135,3.400000
CN2006900000000,20,069,"Gray County, KS",2014,3503,3409,94,2.700000
CN2007100000000,20,071,"Greeley County, KS",2014,896,877,19,2.100000
CN2007300000000,20,073,"Greenwood County, KS",2014,3337,3186,151,4.500000
CN2007500000000,20,075,"Hamilton County, KS",2014,1687,1648,39,2.300000
CN2007700000000,20,077,"Harper County, KS",2014,3019,2908,111,3.700000
CN2007900000000,20,079,"Harvey County, KS",2014,17225,16494,731,4.200000
CN2008100000000,20,081,"Haskell County, KS",2014,2396,2334,62,2.600000
CN2008300000000,20,083,"Hodgeman County, KS",2014,1050,1014,36,3.400000
CN2008500000000,20,085,"Jackson County, KS",2014,7350,7042,308,4.200000
CN2008700000000,20,087,"Jefferson County, KS",2014,10271,9771,500,4.900000
CN2008900000000,20,089,"Jewell County, KS",2014,1386,1331,55,4.000000
CN2009100000000,20,091,"Johnson County, KS",2014,321092,308995,12097,3.800000
CN2009300000000,20,093,"Kearny County, KS",2014,2139,2074,65,3.000000
CN2009500000000,20,095,"Kingman County, KS",2014,3700,3554,146,3.900000
CN2009700000000,20,097,"Kiowa County, KS",2014,1364,1318,46,3.400000
CN2009900000000,20,099,"Labette County, KS",2014,10834,10199,635,5.900000
CN2010100000000,20,101,"Lane County, KS",2014,868,840,28,3.200000
CN2010300000000,20,103,"Leavenworth County, KS",2014,35210,33454,1756,5.000000
CN2010500000000,20,105,"Lincoln County, KS",2014,1774,1701,73,4.100000
CN2010700000000,20,107,"Linn County, KS",2014,4372,4056,316,7.200000
CN2010900000000,20,109,"Logan County, KS",2014,1750,1711,39,2.200000
CN2011100000000,20,111,"Lyon County, KS",2014,16396,15543,853,5.200000
CN2011300000000,20,113,"McPherson County, KS",2014,16954,16400,554,3.300000
CN2011500000000,20,115,"Marion County, KS",2014,6178,5926,252,4.100000
CN2011700000000,20,117,"Marshall County, KS",2014,5975,5783,192,3.200000
CN2011900000000,20,119,"Meade County, KS",2014,2427,2364,63,2.600000
CN2012100000000,20,121,"Miami County, KS",2014,17093,16290,803,4.700000
CN2012300000000,20,123,"Mitchell County, KS",2014,3873,3746,127,3.300000
CN2012500000000,20,125,"Montgomery County, KS",2014,17453,16441,1012,5.800000
CN2012700000000,20,127,"Morris County, KS",2014,3134,2995,139,4.400000
CN2012900000000,20,129,"Morton County, KS",2014,1514,1454,60,4.000000
CN2013100000000,20,131,"Nemaha County, KS",2014,5857,5689,168,2.900000
CN2013300000000,20,133,"Neosho County, KS",2014,6449,5982,467,7.200000
CN2013500000000,20,135,"Ness County, KS",2014,1621,1577,44,2.700000
CN2013700000000,20,137,"Norton County, KS",2014,3103,3029,74,2.400000
CN2013900000000,20,139,"Osage County, KS",2014,8304,7851,453,5.500000
CN2014100000000,20,141,"Osborne County, KS",2014,2056,1977,79,3.800000
CN2014300000000,20,143,"Ottawa County, KS",2014,3267,3132,135,4.100000
CN2014500000000,20,145,"Pawnee County, KS",2014,3440,3310,130,3.800000
CN2014700000000,20,147,"Phillips County, KS",2014,2951,2848,103,3.500000
CN2014900000000,20,149,"Pottawatomie County, KS",2014,11999,11529,470,3.900000
CN2015100000000,20,151,"Pratt County, KS",2014,5484,5304,180,3.300000
CN2015300000000,20,153,"Rawlins County, KS",2014,1525,1487,38,2.500000
CN2015500000000,20,155,"Reno County, KS",2014,31488,30104,1384,4.400000
CN2015700000000,20,157,"Republic County, KS",2014,2591,2512,79,3.000000
CN2015900000000,20,159,"Rice County, KS",2014,5455,5261,194,3.600000
CN2016100000000,20,161,"Riley County, KS",2014,36908,35549,1359,3.700000
CN2016300000000,20,163,"Rooks County, KS",2014,2870,2766,104,3.600000
CN2016500000000,20,165,"Rush County, KS",2014,1828,1763,65,3.600000
CN2016700000000,20,167,"Russell County, KS",2014,3886,3750,136,3.500000
CN2016900000000,20,169,"Saline County, KS",2014,30945,29647,1298,4.200000
CN2017100000000,20,171,"Scott County, KS",2014,2858,2780,78,2.700000
CN2017300000000,20,173,"Sedgwick County, KS",2014,247614,234277,13337,5.400000
CN2017500000000,20,175,"Seward County, KS",2014,11262,10867,395,3.500000
CN2017700000000,20,177,"Shawnee County, KS",2014,92755,88339,4416,4.800000
CN2017900000000,20,179,"Sheridan County, KS",2014,1493,1454,39,2.600000
CN2018100000000,20,181,"Sherman County, KS",2014,3081,2982,99,3.200000
CN2018300000000,20,183,"Smith County, KS",2014,2119,2053,66,3.100000
CN2018500000000,20,185,"Stafford County, KS",2014,2207,2125,82,3.700000
CN2018700000000,20,187,"Stanton County, KS",2014,1039,1004,35,3.400000
CN2018900000000,20,189,"Stevens County, KS",2014,3544,3442,102,2.900000
CN2019100000000,20,191,"Sumner County, KS",2014,11195,10660,535,4.800000
CN2019300000000,20,193,"Thomas County, KS",2014,4487,4359,128,2.900000
CN2019500000000,20,195,"Trego County, KS",2014,1505,1458,47,3.100000
CN2019700000000,20,197,"Wabaunsee County, KS",2014,3801,3644,157,4.100000
CN2019900000000,20,199,"Wallace County, KS",2014,898,874,24,2.700000
CN2020100000000,20,201,"Washington County, KS",2014,3116,3015,101,3.200000
CN2020300000000,20,203,"Wichita County, KS",2014,1248,1213,35,2.800000
CN2020500000000,20,205,"Wilson County, KS",2014,4175,3896,279,6.700000
CN2020700000000,20,207,"Woodson County, KS",2014,1636,1550,86,5.300000
CN2020900000000,20,209,"Wyandotte County, KS",2014,76050,70820,5230,6.900000
CN2100100000000,21,001,"Adair County, KY",2014,7206,6611,595,8.300000
CN2100300000000,21,003,"Allen County, KY",2014,8766,8245,521,5.900000
CN2100500000000,21,005,"Anderson County, KY",2014,11317,10714,603,5.300000
CN2100700000000,21,007,"Ballard County, KY",2014,3694,3401,293,7.900000
CN2100900000000,21,009,"Barren County, KY",2014,18827,17632,1195,6.300000
CN2101100000000,21,011,"Bath County, KY",2014,4635,4216,419,9.000000
CN2101300000000,21,013,"Bell County, KY",2014,9298,8349,949,10.200000
CN2101500000000,21,015,"Boone County, KY",2014,64609,61243,3366,5.200000
CN2101700000000,21,017,"Bourbon County, KY",2014,9720,9170,550,5.700000
CN2101900000000,21,019,"Boyd County, KY",2014,18876,17470,1406,7.400000
CN2102100000000,21,021,"Boyle County, KY",2014,12227,11373,854,7.000000
CN2102300000000,21,023,"Bracken County, KY",2014,3822,3522,300,7.800000
CN2102500000000,21,025,"Breathitt County, KY",2014,4185,3700,485,11.600000
CN2102700000000,21,027,"Breckinridge County, KY",2014,8074,7498,576,7.100000
CN2102900000000,21,029,"Bullitt County, KY",2014,38948,36668,2280,5.900000
CN2103100000000,21,031,"Butler County, KY",2014,5227,4842,385,7.400000
CN2103300000000,21,033,"Caldwell County, KY",2014,5472,5115,357,6.500000
CN2103500000000,21,035,"Calloway County, KY",2014,18652,17584,1068,5.700000
CN2103700000000,21,037,"Campbell County, KY",2014,47729,45229,2500,5.200000
CN2103900000000,21,039,"Carlisle County, KY",2014,2355,2211,144,6.100000
CN2104100000000,21,041,"Carroll County, KY",2014,4858,4507,351,7.200000
CN2104300000000,21,043,"Carter County, KY",2014,10457,9327,1130,10.800000
CN2104500000000,21,045,"Casey County, KY",2014,6573,6114,459,7.000000
CN2104700000000,21,047,"Christian County, KY",2014,25951,23984,1967,7.600000
CN2104900000000,21,049,"Clark County, KY",2014,17020,15974,1046,6.100000
CN2105100000000,21,051,"Clay County, KY",2014,5531,4896,635,11.500000
CN2105300000000,21,053,"Clinton County, KY",2014,3990,3627,363,9.100000
CN2105500000000,21,055,"Crittenden County, KY",2014,3913,3672,241,6.200000
CN2105700000000,21,057,"Cumberland County, KY",2014,2956,2730,226,7.600000
CN2105900000000,21,059,"Daviess County, KY",2014,45980,43366,2614,5.700000
CN2106100000000,21,061,"Edmonson County, KY",2014,4870,4468,402,8.300000
CN2106300000000,21,063,"Elliott County, KY",2014,2147,1901,246,11.500000
CN2106500000000,21,065,"Estill County, KY",2014,5399,4995,404,7.500000
CN2106700000000,21,067,"Fayette County, KY",2014,166862,158803,8059,4.800000
CN2106900000000,21,069,"Fleming County, KY",2014,6331,5831,500,7.900000
CN2107100000000,21,071,"Floyd County, KY",2014,12445,11158,1287,10.300000
CN2107300000000,21,073,"Franklin County, KY",2014,24092,22794,1298,5.400000
CN2107500000000,21,075,"Fulton County, KY",2014,2252,2063,189,8.400000
CN2107700000000,21,077,"Gallatin County, KY",2014,3825,3563,262,6.800000
CN2107900000000,21,079,"Garrard County, KY",2014,7591,7088,503,6.600000
CN2108100000000,21,081,"Grant County, KY",2014,11201,10477,724,6.500000
CN2108300000000,21,083,"Graves County, KY",2014,15940,14735,1205,7.600000
CN2108500000000,21,085,"Grayson County, KY",2014,10822,9907,915,8.500000
CN2108700000000,21,087,"Green County, KY",2014,5111,4776,335,6.600000
CN2108900000000,21,089,"Greenup County, KY",2014,14198,13011,1187,8.400000
CN2109100000000,21,091,"Hancock County, KY",2014,3959,3719,240,6.100000
CN2109300000000,21,093,"Hardin County, KY",2014,46567,43658,2909,6.200000
CN2109500000000,21,095,"Harlan County, KY",2014,8536,7353,1183,13.900000
CN2109700000000,21,097,"Harrison County, KY",2014,8404,7896,508,6.000000
CN2109900000000,21,099,"Hart County, KY",2014,7801,7305,496,6.400000
CN2110100000000,21,101,"Henderson County, KY",2014,21640,20314,1326,6.100000
CN2110300000000,21,103,"Henry County, KY",2014,7636,7189,447,5.900000
CN2110500000000,21,105,"Hickman County, KY",2014,2129,1996,133,6.200000
CN2110700000000,21,107,"Hopkins County, KY",2014,20613,19289,1324,6.400000
CN2110900000000,21,109,"Jackson County, KY",2014,4628,4097,531,11.500000
CN2111100000000,21,111,"Jefferson County, KY",2014,378661,355616,23045,6.100000
CN2111300000000,21,113,"Jessamine County, KY",2014,24767,23456,1311,5.300000
CN2111500000000,21,115,"Johnson County, KY",2014,8082,7334,748,9.300000
CN2111700000000,21,117,"Kenton County, KY",2014,83213,78575,4638,5.600000
CN2111900000000,21,119,"Knott County, KY",2014,5149,4573,576,11.200000
CN2112100000000,21,121,"Knox County, KY",2014,10124,9110,1014,10.000000
CN2112300000000,21,123,"Larue County, KY",2014,5714,5340,374,6.500000
CN2112500000000,21,125,"Laurel County, KY",2014,23944,22116,1828,7.600000
CN2112700000000,21,127,"Lawrence County, KY",2014,5314,4802,512,9.600000
CN2112900000000,21,129,"Lee County, KY",2014,2257,2037,220,9.700000
CN2113100000000,21,131,"Leslie County, KY",2014,3193,2784,409,12.800000
CN2113300000000,21,133,"Letcher County, KY",2014,7337,6434,903,12.300000
CN2113500000000,21,135,"Lewis County, KY",2014,5160,4661,499,9.700000
CN2113700000000,21,137,"Lincoln County, KY",2014,9457,8630,827,8.700000
CN2113900000000,21,139,"Livingston County, KY",2014,3733,3429,304,8.100000
CN2114100000000,21,141,"Logan County, KY",2014,11887,11208,679,5.700000
CN2114300000000,21,143,"Lyon County, KY",2014,2999,2792,207,6.900000
CN2114500000000,21,145,"McCracken County, KY",2014,29359,27272,2087,7.100000
CN2114700000000,21,147,"McCreary County, KY",2014,5063,4521,542,10.700000
CN2114900000000,21,149,"McLean County, KY",2014,4336,4054,282,6.500000
CN2115100000000,21,151,"Madison County, KY",2014,44889,42465,2424,5.400000
CN2115300000000,21,153,"Magoffin County, KY",2014,3744,3221,523,14.000000
CN2115500000000,21,155,"Marion County, KY",2014,9062,8477,585,6.500000
CN2115700000000,21,157,"Marshall County, KY",2014,15050,14021,1029,6.800000
CN2115900000000,21,159,"Martin County, KY",2014,3474,3157,317,9.100000
CN2116100000000,21,161,"Mason County, KY",2014,7733,7129,604,7.800000
CN2116300000000,21,163,"Meade County, KY",2014,12142,11287,855,7.000000
CN2116500000000,21,165,"Menifee County, KY",2014,2358,2125,233,9.900000
CN2116700000000,21,167,"Mercer County, KY",2014,9904,9286,618,6.200000
CN2116900000000,21,169,"Metcalfe County, KY",2014,4159,3906,253,6.100000
CN2117100000000,21,171,"Monroe County, KY",2014,4597,4340,257,5.600000
CN2117300000000,21,173,"Montgomery County, KY",2014,11659,10785,874,7.500000
CN2117500000000,21,175,"Morgan County, KY",2014,4826,4370,456,9.400000
CN2117700000000,21,177,"Muhlenberg County, KY",2014,12471,11527,944,7.600000
CN2117900000000,21,179,"Nelson County, KY",2014,21314,20005,1309,6.100000
CN2118100000000,21,181,"Nicholas County, KY",2014,3467,3189,278,8.000000
CN2118300000000,21,183,"Ohio County, KY",2014,9485,8763,722,7.600000
CN2118500000000,21,185,"Oldham County, KY",2014,29948,28515,1433,4.800000
CN2118700000000,21,187,"Owen County, KY",2014,5558,5277,281,5.100000
CN2118900000000,21,189,"Owsley County, KY",2014,1237,1110,127,10.300000
CN2119100000000,21,191,"Pendleton County, KY",2014,6836,6379,457,6.700000
CN2119300000000,21,193,"Perry County, KY",2014,9650,8653,997,10.300000
CN2119500000000,21,195,"Pike County, KY",2014,22098,19787,2311,10.500000
CN2119700000000,21,197,"Powell County, KY",2014,4948,4524,424,8.600000
CN2119900000000,21,199,"Pulaski County, KY",2014,26325,24380,1945,7.400000
CN2120100000000,21,201,"Robertson County, KY",2014,808,746,62,7.700000
CN2120300000000,21,203,"Rockcastle County, KY",2014,6900,6387,513,7.400000
CN2120500000000,21,205,"Rowan County, KY",2014,10512,9781,731,7.000000
CN2120700000000,21,207,"Russell County, KY",2014,6743,6069,674,10.000000
CN2120900000000,21,209,"Scott County, KY",2014,25987,24695,1292,5.000000
CN2121100000000,21,211,"Shelby County, KY",2014,22332,21213,1119,5.000000
CN2121300000000,21,213,"Simpson County, KY",2014,8540,8043,497,5.800000
CN2121500000000,21,215,"Spencer County, KY",2014,9209,8717,492,5.300000
CN2121700000000,21,217,"Taylor County, KY",2014,11134,10310,824,7.400000
CN2121900000000,21,219,"Todd County, KY",2014,5465,5166,299,5.500000
CN2122100000000,21,221,"Trigg County, KY",2014,5890,5482,408,6.900000
CN2122300000000,21,223,"Trimble County, KY",2014,3911,3630,281,7.200000
CN2122500000000,21,225,"Union County, KY",2014,6715,6283,432,6.400000
CN2122700000000,21,227,"Warren County, KY",2014,59281,55988,3293,5.600000
CN2122900000000,21,229,"Washington County, KY",2014,6097,5759,338,5.500000
CN2123100000000,21,231,"Wayne County, KY",2014,7159,6449,710,9.900000
CN2123300000000,21,233,"Webster County, KY",2014,6316,5965,351,5.600000
CN2123500000000,21,235,"Whitley County, KY",2014,13497,12321,1176,8.700000
CN2123700000000,21,237,"Wolfe County, KY",2014,2047,1815,232,11.300000
CN2123900000000,21,239,"Woodford County, KY",2014,14166,13528,638,4.500000
CN2200100000000,22,001,"Acadia Parish, LA",2014,26895,25357,1538,5.700000
CN2200300000000,22,003,"Allen Parish, LA",2014,9038,8388,650,7.200000
CN2200500000000,22,005,"Ascension Parish, LA",2014,58954,55796,3158,5.400000
CN2200700000000,22,007,"Assumption Parish, LA",2014,10124,9354,770,7.600000
CN2200900000000,22,009,"Avoyelles Parish, LA",2014,16266,15085,1181,7.300000
CN2201100000000,22,011,"Beauregard Parish, LA",2014,14822,13809,1013,6.800000
CN2201300000000,22,013,"Bienville Parish, LA",2014,5965,5502,463,7.800000
CN2201500000000,22,015,"Bossier Parish, LA",2014,57661,54307,3354,5.800000
CN2201700000000,22,017,"Caddo Parish, LA",2014,112139,103833,8306,7.400000
CN2201900000000,22,019,"Calcasieu Parish, LA",2014,94601,89004,5597,5.900000
CN2202100000000,22,021,"Caldwell Parish, LA",2014,4095,3782,313,7.600000
CN2202300000000,22,023,"Cameron Parish, LA",2014,3510,3340,170,4.800000
CN2202500000000,22,025,"Catahoula Parish, LA",2014,3856,3544,312,8.100000
CN2202700000000,22,027,"Claiborne Parish, LA",2014,6408,5924,484,7.600000
CN2202900000000,22,029,"Concordia Parish, LA",2014,7874,7189,685,8.700000
CN2203100000000,22,031,"De Soto Parish, LA",2014,11109,10205,904,8.100000
CN2203300000000,22,033,"East Baton Rouge Parish, LA",2014,234099,220583,13516,5.800000
CN2203500000000,22,035,"East Carroll Parish, LA",2014,2238,1906,332,14.800000
CN2203700000000,22,037,"East Feliciana Parish, LA",2014,8242,7707,535,6.500000
CN2203900000000,22,039,"Evangeline Parish, LA",2014,13233,12340,893,6.700000
CN2204100000000,22,041,"Franklin Parish, LA",2014,7613,6891,722,9.500000
